Preamble	ID	age	Children	Ed_Years	Gender	Income	Age_if_Both	Age_if_Physically	Age_if_Mentally	Expected_Longevity	Health	Science_Interest	Religiosity	Life_Satisfaction	Self_Esteem	Optimism	Diseases
negative	73992650	21	0	2	Male	37500	120	120	120	84.5	1	3	3	2	1	-1	0
negative	73992610	29.5	3	2	Female	37500	Unlimited	150	150	84.5	-1	2	4	0	-1	2	0
negative	73992634	59.5	0	2	Female	62500	120	120	120	109.5	2	3	0	2	1	2	0
negative	73992598	29.5	3	2	Female	12500	Unlimited	Unlimited	Unlimited	84.5	2	2	2	0	-1	-1	0
negative	73992614	29.5	1	2	Female	62500	120	85	85	74.5	0	3	4	1	-1	1	2
negative	73992642	49.5	0	2	Male	37500	Unlimited	Unlimited	Unlimited	65	1	3	3	1	1	1	1
negative	73992694	21	0	2	Male	37500	120	Unlimited	Unlimited	180	0	2	2	0	1	1	0
negative	73992654	29.5	0	8	Female	37500	Unlimited	120	120	84.5	0	1	1	0	1	1	0
negative	73992686	39.5	2	4	Female	37500	150	120	120	74.5	0	3	0	1	1	2	0
negative	73992570	70	0	4	Male	150000	Unlimited	Unlimited	Unlimited	74.5	-2	2	0	-2	1	-1	1
negative	73992674	49.5	1	0	Male	37500	Unlimited	85	85	84.5	1	2	3	1	2	2	1
negative	73992578	21	0	2	Female	37500	Unlimited	85	85	84.5	-1	4	2	-1	1	-2	2
negative	73992554	29.5	0	6	Female	37500	120	85	85	94.5	1	3	4	1	1	1	1
negative	73992690	49.5	0	0	Female	62500	85	85	85	74.5	0	1	2	1	1	2	0
negative	73992630	29.5	2	2	Female	62500	85	85	85	84.5	1	0	1	1	-1	-1	0
negative	73992666	49.5	0	0	Female	150000	Unlimited	85	85	74.5	-2	2	3	0	-2	1	1
negative	73992718	39.5	2	4	Female	150000	Unlimited	120	Unlimited	109.5	1	4	3	2	1	2	0
negative	73992730	49.5	0	2	Male	62500	120	120	120	84.5	0	3	2	1	1	1	1
negative	73992738	21	1	4	Female	62500	Unlimited	120	120	94.5	0	3	3	1	1	1	1
negative	73992530	29.5	1	4	Female	150000	120	85	85	84.5	1	4	0	0	-1	-1	1
negative	73992770	29.5	2	2	Female	37500	120	85	85	84.5	1	3	3	1	1	1	0
negative	73992766	21	1	0	Male	12500	Unlimited	85	85	74.5	1	1	3	0	-1	1	0
negative	73992754	29.5	2	2	Male	37500	150	120	120	84.5	0	1	1	1	1	-1	0
negative	73992790	21	0	2	Female	12500	Unlimited	85	85	74.5	0	3	2	1	-1	1	0
negative	73992786	21	0	2	Female	150000	Unlimited	120	85	84.5	0	3	0	1	-2	-2	0
negative	73992782	21	0	2	Female	12500	Unlimited	85	85	65	1	3	0	0	1	1	0
negative	73992734	21	0	0	Male	37500	120	85	85	74.5	0	3	4	0	-1	1	1
negative	73992638	21	1	4	Female	12500	Unlimited	Unlimited	Unlimited	94.5	-1	4	4	0	-1	1	2
negative	73992774	39.5	1	2	Female	12500	Unlimited	120	120	84.5	0	2	0	0	2	1	3
negative	73992806	49.5	0	2	Female	12500	Unlimited	150	85	84.5	0	2	3	0	-1	-1	0
negative	73992794	29.5	1	0	Female	62500	85	85	85	84.5	0	3	0	1	1	1	1
negative	73992822	29.5	0	4	Female	12500	Unlimited	150	85	74.5	-2	1	4	-2	-2	-2	3
negative	73992826	29.5	3	4	Male	37500	150	120	85	84.5	0	2	3	1	1	1	0
negative	73992870	21	0	2	Female	12500	Unlimited	Unlimited	150	94.5	0	4	4	1	-1	2	1
negative	73992862	29.5	0	4	Female	12500	85	85	85	84.5	1	3	0	0	-1	1	0
negative	73992886	21	3	2	Male	12500	Unlimited	85	Unlimited	74.5	0	3	2	1	1	1	0
negative	73992838	59.5	0	4	Female	37500	85	85	85	74.5	0	2	4	1	-1	-1	2
negative	73992878	29.5	0	4	Female	62500	Unlimited	Unlimited	Unlimited	109.5	2	4	3	2	-1	1	0
negative	73992914	21	0	0	Male	37500	Unlimited	Unlimited	Unlimited	84.5	0	3	3	1	1	1	0
negative	73992834	21	0	2	Female	62500	Unlimited	Unlimited	85	65	0	2	0	-1	-1	-1	0
negative	73992898	21	1	2	Female	37500	85	85	85	74.5	0	2	1	1	-1	-1	0
negative	73992962	29.5	5	4	Female	37500	Unlimited	Unlimited	Unlimited	84.5	0	1	4	1	-1	1	2
negative	73992926	29.5	2	2	Male	62500	85	85	85	74.5	2	4	3	2	2	2	0
negative	73992942	29.5	2	2	Male	87500	85	85	85	74.5	1	3	0	2	2	2	1
negative	73992934	49.5	4	2	Female	37500	85	85	85	74.5	-2	1	4	0	-1	-1	3
negative	73992974	29.5	0	2	Male	12500	120	85	85	74.5	1	4	3	1	1	2	0
negative	73992906	21	0	0	Female	12500	Unlimited	Unlimited	Unlimited	65	1	2	0	0	-1	1	0
negative	73992990	29.5	0	4	Female	62500	Unlimited	Unlimited	Unlimited	180	2	4	3	2	-1	1	0
negative	73992954	29.5	2	0	Male	37500	Unlimited	85	150	84.5	2	2	0	2	2	2	1
negative	73993030	21	0	6	Male	12500	Unlimited	85	150	134.5	2	4	4	2	2	2	0
negative	73992986	39.5	2	4	Male	37500	150	85	85	65	0	3	3	0	1	-1	2
negative	73992966	49.5	0	2	Male	87500	Unlimited	Unlimited	120	109.5	2	4	4	2	2	2	0
negative	73993050	39.5	3	4	Male	87500	120	85	85	84.5	1	3	4	2	1	2	0
negative	73993038	21	0	0	Male	37500	Unlimited	120	85	65	0	3	0	0	1	1	0
negative	73993046	49.5	0	6	Male	37500	85	85	85	74.5	1	3	0	1	1	1	0
negative	73993066	29.5	0	2	Male	62500	Unlimited	Unlimited	Unlimited	180	1	4	2	2	1	2	0
negative	73993058	70	1	2	Female	37500	120	85	120	94.5	1	4	4	1	2	2	0
negative	73993034	29.5	0	2	Female	12500	150	120	85	109.5	0	3	4	0	1	1	0
negative	73993014	21	1	2	Female	37500	85	85	85	94.5	1	2	2	0	-1	1	0
negative	73993090	29.5	1	0	Female	12500	Unlimited	Unlimited	85	65	-2	3	0	-2	-2	-2	2
negative	73993054	29.5	0	0	Female	12500	Unlimited	Unlimited	Unlimited	180	1	2	2	-2	2	-1	2
negative	73993086	21	1	0	Female	12500	150	120	120	109.5	0	1	0	0	-1	1	1
negative	73993122	21	2	2	Male	62500	85	85	85	65	-2	3	0	-1	-2	-1	0
negative	73993126	21	0	2	Female	12500	120	120	120	74.5	-1	3	0	1	1	1	1
negative	73993110	21	0	4	Male	37500	120	85	85	74.5	1	3	0	1	1	2	1
negative	73993166	29.5	1	2	Female	12500	Unlimited	Unlimited	Unlimited	180	0	4	0	0	1	1	0
negative	73993098	29.5	0	0	Female	12500	85	85	85	84.5	0	1	0	0	1	1	0
negative	73993114	39.5	1	4	Female	37500	120	120	120	94.5	0	2	4	1	1	1	1
negative	73993118	59.5	0	4	Female	12500	Unlimited	Unlimited	85	74.5	2	4	0	1	1	1	0
negative	73993174	29.5	0	4	Male	37500	Unlimited	85	85	65	1	3	0	0	-1	-1	1
negative	73993106	21	0	2	Female	12500	85	85	85	84.5	0	2	1	0	-1	1	0
negative	73993218	39.5	3	4	Female	62500	150	85	85	94.5	0	2	1	-1	-2	-1	1
negative	73993210	29.5	0	4	Male	37500	120	120	120	94.5	1	2	3	1	1	1	0
negative	73993206	39.5	0	4	Female	12500	85	85	85	65	-1	2	3	1	-1	1	2
negative	73993262	29.5	0	2	Female	37500	85	85	85	74.5	1	2	2	0	1	1	0
negative	73993194	29.5	0	4	Female	62500	85	85	85	94.5	2	3	3	1	1	1	0
negative	73993230	39.5	0	0	Female	37500	85	85	85	84.5	-1	2	3	0	1	1	1
negative	73993258	21	1	2	Male	150000	85	85	85	84.5	0	3	0	0	-1	-1	0
negative	73993154	39.5	0	0	Male	12500	Unlimited	Unlimited	Unlimited	180	0	0	1	0	-2	1	1
negative	73993130	39.5	3	4	Female	12500	Unlimited	Unlimited	Unlimited	109.5	-1	3	2	0	1	2	1
negative	73993270	21	0	0	Male	12500	Unlimited	85	120	65	0	2	0	-1	-1	-1	3
negative	73993238	29.5	0	2	Female	12500	85	85	85	84.5	0	4	4	0	-1	-2	1
negative	73993274	29.5	1	2	Female	12500	120	120	120	94.5	0	3	0	0	-1	1	0
negative	73993158	49.5	0	6	Female	62500	Unlimited	120	120	109.5	1	3	1	1	1	2	1
negative	73993282	29.5	0	4	Male	150000	85	85	85	74.5	1	4	3	2	1	2	0
negative	73993266	29.5	2	0	Female	12500	Unlimited	Unlimited	85	84.5	-1	3	1	0	-1	1	1
negative	73993286	29.5	1	4	Female	150000	Unlimited	120	150	94.5	1	3	0	1	1	1	0
negative	73993078	29.5	0	0	Male	12500	Unlimited	85	85	65	-1	3	0	-1	-1	-1	0
negative	73993334	21	0	4	Female	12500	Unlimited	85	Unlimited	84.5	1	4	4	0	1	1	0
negative	73993250	39.5	3	0	Female	12500	120	120	120	74.5	-2	2	2	-1	-1	-2	3
negative	73993302	29.5	1	2	Female	62500	Unlimited	120	Unlimited	84.5	2	3	0	1	1	1	0
negative	73993290	29.5	2	2	Female	37500	Unlimited	85	120	84.5	1	2	3	1	-1	-1	0
negative	73993330	39.5	1	0	Female	62500	Unlimited	Unlimited	85	74.5	-1	2	4	-1	-1	-2	0
negative	73993350	21	1	0	Female	37500	120	85	85	74.5	-1	2	2	0	-2	1	0
negative	73993294	29.5	3	0	Female	12500	120	120	120	94.5	1	2	3	1	-1	1	0
negative	73993326	49.5	1	2	Female	12500	85	85	85	74.5	0	2	3	0	1	1	0
negative	73993254	49.5	2	4	Male	62500	Unlimited	Unlimited	120	74.5	1	3	4	1	1	1	1
negative	73993346	21	0	2	Male	12500	85	85	85	94.5	1	4	2	1	1	1	0
negative	73993322	59.5	0	0	Female	12500	150	120	120	74.5	0	2	2	0	1	1	0
negative	73993338	29.5	1	4	Female	12500	85	85	85	84.5	0	2	1	-1	-1	-1	1
negative	73993354	29.5	1	2	Female	37500	85	Unlimited	85	84.5	0	3	4	0	-2	-1	0
negative	73993342	21	0	0	Female	12500	150	85	120	84.5	-1	4	0	0	-1	1	1
negative	73993446	29.5	5	8	Female	350000	Unlimited	Unlimited	150	109.5	0	4	4	2	2	2	1
negative	73993414	21	0	2	Male	62500	120	120	120	84.5	2	3	4	1	2	1	1
negative	73993366	21	1	0	Male	12500	85	85	85	84.5	0	4	3	2	2	2	1
negative	73993450	29.5	3	2	Female	12500	120	85	85	65	0	1	1	0	1	1	1
negative	73993434	39.5	2	0	Male	12500	Unlimited	Unlimited	Unlimited	65	1	3	0	1	-1	-1	1
negative	73993474	29.5	0	2	Female	12500	85	85	85	84.5	1	4	4	1	1	1	0
negative	73993402	29.5	0	0	Male	12500	85	85	85	65	-1	0	4	-1	2	2	0
negative	73993178	21	4	2	Female	37500	Unlimited	85	85	65	0	1	2	1	1	1	0
negative	73993454	29.5	2	2	Female	12500	85	85	85	65	1	4	4	2	1	1	2
negative	73993518	29.5	0	2	Male	37500	120	85	120	74.5	0	4	2	0	2	1	0
negative	73993522	39.5	1	2	Male	150000	Unlimited	85	120	65	0	3	2	-1	-2	1	3
negative	73993514	39.5	2	2	Female	37500	Unlimited	120	120	84.5	1	3	3	2	1	2	1
negative	73993534	21	0	0	Female	12500	Unlimited	Unlimited	85	65	2	4	0	1	1	1	1
negative	73993526	29.5	0	2	Male	62500	Unlimited	150	150	180	2	3	4	2	2	2	0
negative	73993498	49.5	1	0	Female	12500	85	85	85	84.5	1	2	1	1	1	1	0
negative	73993538	29.5	1	2	Female	62500	120	85	85	84.5	1	3	4	1	-1	1	0
negative	73993546	21	1	2	Female	12500	85	85	85	94.5	1	2	4	1	1	1	1
negative	73993510	21	0	4	Male	150000	Unlimited	120	150	84.5	1	3	0	1	1	1	0
negative	73993574	21	0	2	Female	37500	85	85	85	65	1	4	1	1	1	1	0
negative	73993550	39.5	1	4	Female	150000	120	85	85	84.5	1	2	3	1	-1	1	0
negative	73993578	21	4	2	Male	37500	120	120	85	65	1	2	2	1	2	1	0
negative	73993530	70	0	4	Male	37500	Unlimited	85	120	134.5	0	4	4	0	1	1	1
negative	73993586	39.5	0	0	Female	62500	Unlimited	Unlimited	150	84.5	1	4	0	1	-1	1	0
negative	73993562	39.5	2	0	Female	12500	Unlimited	Unlimited	Unlimited	74.5	0	2	0	1	-1	1	0
negative	73993566	29.5	0	2	Female	12500	Unlimited	Unlimited	120	180	-1	4	0	0	1	1	4
negative	73993602	39.5	4	4	Female	62500	Unlimited	150	85	74.5	1	4	1	1	2	2	0
negative	73993582	29.5	0	2	Female	12500	Unlimited	85	120	84.5	-1	4	0	0	-1	-1	2
negative	73993590	49.5	0	4	Female	12500	150	85	120	65	0	4	2	0	1	-1	0
negative	73993606	59.5	0	0	Male	62500	Unlimited	Unlimited	120	74.5	0	3	1	1	1	1	0
negative	73993558	39.5	0	2	Male	12500	Unlimited	85	Unlimited	180	1	3	4	1	1	2	0
negative	73993610	59.5	0	2	Female	12500	120	85	85	74.5	1	4	0	1	1	2	0
negative	73993462	21	0	2	Male	37500	Unlimited	120	150	84.5	0	3	0	1	-1	1	0
negative	73993554	29.5	0	4	Female	87500	Unlimited	Unlimited	85	74.5	0	3	0	0	1	-1	0
negative	73993618	49.5	0	2	Female	12500	150	120	120	84.5	0	3	2	0	-1	-1	0
negative	73993634	39.5	2	2	Female	62500	Unlimited	85	85	84.5	0	3	2	0	-1	1	0
negative	73993666	29.5	0	4	Male	62500	120	85	120	65	-1	1	1	0	-1	-1	2
negative	73993658	29.5	1	0	Female	62500	85	85	85	65	-1	3	0	0	-1	-1	0
negative	73993674	59.5	0	2	Male	12500	120	85	85	74.5	0	2	1	1	1	-1	1
negative	73993702	21	0	2	Female	12500	85	85	85	84.5	1	3	1	1	-1	1	0
negative	73993638	49.5	0	2	Male	12500	Unlimited	Unlimited	Unlimited	84.5	0	2	2	0	1	1	0
negative	73993738	29.5	0	2	Male	37500	120	120	120	84.5	0	3	0	0	1	1	1
negative	73993694	59.5	0	4	Female	12500	120	85	85	84.5	-1	4	1	-1	-1	-1	2
negative	73993682	59.5	0	2	Female	37500	Unlimited	Unlimited	Unlimited	134.5	1	4	0	1	1	1	0
negative	73993722	59.5	0	6	Male	37500	Unlimited	120	85	65	-1	3	4	-1	-1	-1	4
negative	73993698	39.5	1	0	Male	37500	Unlimited	Unlimited	Unlimited	134.5	0	4	0	1	1	1	0
negative	73993710	29.5	0	4	Female	37500	85	85	85	94.5	2	4	0	1	1	1	0
negative	73993714	39.5	1	2	Female	62500	Unlimited	Unlimited	120	84.5	1	3	3	1	-1	-1	1
negative	73993774	21	0	0	Female	37500	150	120	120	84.5	-1	1	0	-1	-2	-1	2
negative	73993726	49.5	0	2	Female	87500	120	85	85	94.5	1	3	0	2	1	2	1
negative	73993746	39.5	0	4	Female	12500	Unlimited	85	85	84.5	2	4	4	2	2	2	0
negative	73993758	59.5	0	2	Male	37500	Unlimited	85	120	94.5	0	1	3	1	1	-2	3
negative	73993790	29.5	1	2	Male	62500	120	120	120	65	0	3	2	0	-1	-1	0
negative	73993826	59.5	2	4	Female	37500	85	85	85	65	-1	3	3	2	1	2	2
negative	73993830	21	0	2	Female	12500	Unlimited	85	85	94.5	-1	3	2	1	1	1	0
negative	73993822	49.5	1	2	Male	37500	85	85	85	84.5	1	3	2	1	-1	1	0
negative	73993794	29.5	1	0	Male	37500	Unlimited	120	120	74.5	0	3	0	0	1	1	0
negative	73993818	29.5	1	2	Female	12500	120	85	85	94.5	1	3	4	2	2	2	0
negative	73993846	21	0	2	Male	87500	150	85	85	74.5	1	3	1	1	1	1	0
negative	73993654	29.5	0	2	Female	12500	150	150	150	134.5	2	4	2	1	1	2	9
negative	73993862	29.5	0	4	Female	62500	120	120	120	74.5	1	3	0	1	1	1	0
negative	73993850	21	1	2	Female	62500	150	120	120	94.5	1	3	0	1	-1	1	0
negative	73993838	21	0	4	Female	12500	85	120	150	109.5	2	4	0	1	1	2	0
negative	73993770	39.5	0	2	Male	37500	120	85	85	94.5	1	3	4	2	2	2	0
negative	73993806	21	0	4	Male	12500	Unlimited	120	150	84.5	0	3	3	0	-1	1	1
negative	73993834	29.5	0	2	Female	12500	Unlimited	85	85	65	-1	1	2	-1	-1	-2	1
negative	73993874	29.5	3	0	Female	37500	85	85	85	84.5	1	3	2	1	-1	1	2
negative	73993870	29.5	3	2	Female	12500	Unlimited	85	85	65	-1	3	3	1	-1	-1	1
negative	73993858	49.5	1	0	Female	37500	Unlimited	85	85	84.5	0	2	4	2	1	2	1
negative	73993886	29.5	0	0	Male	12500	Unlimited	Unlimited	Unlimited	180	1	4	0	0	1	1	0
negative	73993942	21	0	2	Male	12500	120	85	120	84.5	0	0	0	0	-1	-1	0
negative	73993878	39.5	4	4	Female	87500	120	85	120	94.5	0	2	4	1	-1	1	2
negative	73993902	29.5	2	0	Female	12500	Unlimited	Unlimited	Unlimited	84.5	1	3	4	-1	-1	1	0
negative	73993898	29.5	0	4	Male	62500	Unlimited	Unlimited	Unlimited	84.5	2	4	3	2	2	2	0
negative	73993954	21	0	0	Female	12500	120	Unlimited	85	74.5	0	3	0	1	-1	1	0
negative	73993918	49.5	0	2	Female	12500	Unlimited	85	85	94.5	1	3	1	1	1	2	1
negative	73993938	29.5	2	2	Male	62500	85	85	85	74.5	0	2	2	1	1	1	0
negative	73994010	39.5	0	2	Female	37500	85	85	85	74.5	-1	4	3	-1	-1	-1	2
negative	73993934	39.5	2	2	Male	37500	120	85	85	84.5	1	1	3	1	-1	-1	0
negative	73994014	29.5	0	6	Female	37500	85	85	85	84.5	1	3	3	1	-2	1	0
negative	73993974	21	0	4	Female	37500	85	85	85	180	1	2	4	1	1	2	0
negative	73993986	29.5	1	4	Female	87500	120	85	85	94.5	1	2	2	1	-1	1	1
negative	73994026	21	0	2	Female	12500	120	120	85	74.5	0	4	3	1	1	1	0
negative	73994030	21	1	2	Female	37500	85	85	85	74.5	0	4	3	0	1	-1	1
negative	73994006	49.5	0	0	Female	37500	Unlimited	120	120	65	0	2	3	0	-1	-1	0
negative	73993982	29.5	2	2	Male	12500	Unlimited	Unlimited	Unlimited	84.5	-1	2	3	0	-1	1	2
negative	73993946	29.5	0	2	Male	37500	120	85	85	84.5	0	3	0	0	1	1	0
negative	73994022	29.5	3	2	Male	62500	Unlimited	120	150	94.5	0	4	4	1	1	1	0
negative	73994034	29.5	0	0	Female	12500	120	85	85	74.5	0	0	4	0	-2	-2	0
negative	73993990	21	2	2	Female	37500	120	85	85	84.5	1	2	3	1	1	1	0
negative	73994002	21	0	2	Male	12500	Unlimited	85	85	94.5	1	2	1	1	1	1	0
negative	73993994	70	0	0	Female	12500	120	85	85	84.5	-1	3	4	2	1	1	1
negative	73994050	21	0	2	Male	12500	Unlimited	120	85	84.5	1	3	0	2	1	1	0
negative	73994102	21	0	2	Male	12500	Unlimited	120	85	84.5	0	2	0	0	-1	-1	0
negative	73994078	29.5	1	2	Female	37500	85	85	85	94.5	1	4	4	0	2	2	0
negative	73994070	39.5	3	2	Male	62500	Unlimited	85	120	74.5	0	3	0	1	1	1	0
negative	73994094	21	0	2	Male	12500	85	120	120	84.5	1	3	3	0	-1	1	0
negative	73994110	21	0	4	Male	12500	85	85	120	74.5	0	1	2	0	-1	1	1
negative	73994098	49.5	1	0	Female	12500	85	85	Unlimited	65	-1	2	0	1	1	1	2
negative	73994082	49.5	0	2	Male	12500	Unlimited	85	85	65	0	3	3	0	-1	-1	1
negative	73994054	49.5	2	2	Female	37500	120	85	85	74.5	0	2	4	1	-1	1	3
negative	73994122	21	0	0	Female	37500	85	85	120	84.5	1	4	3	1	2	2	0
negative	73994042	21	0	2	Female	37500	120	85	85	94.5	1	3	3	1	1	1	1
negative	73994086	29.5	3	2	Female	62500	85	85	85	94.5	1	3	4	1	1	2	0
negative	73994126	39.5	0	4	Female	62500	Unlimited	Unlimited	Unlimited	74.5	1	1	1	1	1	-1	0
negative	73994134	59.5	0	0	Female	37500	85	85	120	65	-1	2	0	1	-1	1	1
negative	73993890	29.5	0	4	Female	62500	Unlimited	85	85	65	1	1	0	0	-1	-1	0
negative	73994114	49.5	5	4	Male	87500	120	120	120	74.5	1	4	2	0	-1	-1	0
negative	73994018	21	0	2	Female	37500	Unlimited	120	120	94.5	0	3	1	0	-1	1	2
negative	73994154	49.5	1	2	Male	87500	120	120	85	94.5	2	3	1	2	1	2	0
negative	73994158	21	3	2	Female	12500	Unlimited	120	85	180	2	2	4	2	2	2	0
negative	73994046	49.5	2	0	Female	37500	120	85	120	84.5	0	4	1	0	-1	-1	1
negative	73994118	59.5	0	4	Female	37500	85	85	85	74.5	-1	2	1	0	-1	1	1
negative	73994174	29.5	1	4	Female	87500	Unlimited	Unlimited	150	109.5	0	4	0	0	1	1	0
negative	73994222	39.5	0	0	Female	37500	85	85	85	74.5	-1	3	1	1	-1	1	1
negative	73994166	49.5	1	4	Female	37500	120	85	120	94.5	1	3	4	1	1	2	0
negative	73994178	29.5	0	2	Female	62500	120	85	85	74.5	0	3	0	0	-1	1	1
negative	73994186	21	0	2	Female	12500	Unlimited	Unlimited	85	74.5	0	4	0	0	-1	1	2
negative	73994198	29.5	0	6	Female	37500	120	85	85	65	-2	2	4	1	-1	2	1
negative	73994130	39.5	2	2	Female	37500	120	85	120	84.5	0	3	0	1	1	2	1
negative	73994162	21	1	0	Female	12500	85	85	85	84.5	0	3	0	-1	-2	-2	1
negative	73994214	21	0	0	Female	12500	Unlimited	Unlimited	Unlimited	109.5	0	2	0	0	-1	2	1
negative	73994210	59.5	0	0	Female	37500	Unlimited	85	85	74.5	0	2	3	0	-1	1	0
negative	73994202	29.5	0	2	Female	12500	120	85	120	84.5	0	4	2	0	-1	1	1
negative	73994238	29.5	2	6	Male	37500	Unlimited	150	150	84.5	2	4	1	2	2	2	0
negative	73994170	29.5	0	2	Female	12500	120	85	85	94.5	0	2	0	0	-1	-1	0
negative	73994194	29.5	0	2	Male	12500	120	85	85	65	-1	3	0	-1	-2	-1	1
negative	73994270	29.5	1	2	Female	37500	Unlimited	85	85	84.5	0	2	2	0	-1	-1	0
negative	73994254	70	0	4	Female	62500	Unlimited	85	120	180	2	3	3	2	2	2	0
negative	73994246	49.5	0	8	Female	150000	120	85	85	94.5	1	3	4	1	1	1	0
negative	73994286	29.5	1	4	Female	37500	120	120	85	84.5	0	3	3	0	-1	1	1
negative	73993762	29.5	2	2	Female	37500	150	120	85	84.5	0	3	4	1	-1	1	0
negative	73994230	39.5	2	0	Female	12500	Unlimited	Unlimited	Unlimited	74.5	0	3	4	1	1	2	1
negative	73994250	21	0	2	Male	12500	150	85	85	65	0	4	0	0	-1	1	0
negative	73994262	29.5	3	6	Female	87500	120	150	85	84.5	1	1	4	2	1	1	1
